mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,spec_centroid_mean,spec_centroid_std,spec_band_mean,spec_band_std,spec_rolloff_mean,spec_rolloff_std,spec_flat_mean,spec_flat_std,rms_mean,rms_std,zero_cross_rate_mean,zero_cross_rate_std,flux_mean,flux_std,debit
-180.6893310546875,80.15511322021484,-61.52942657470703,-7.940840721130371,-40.0939826965332,-40.21138381958008,-2.934046745300293,-35.26125717163086,-9.973712921142578,-11.405594825744629,-17.84857749938965,-2.263249397277832,-18.339548110961914,21.515335083007812,14.53027057647705,12.099767684936523,11.181108474731445,12.393623352050781,10.164412498474121,9.345832824707031,8.604371070861816,8.882301330566406,8.921599388122559,8.45212173461914,7.619484901428223,7.301391124725342,3347.287342305826,412.895000316979,3213.620934410976,264.46086297873217,5795.941235059761,540.5646739668667,0.01779002510011196,0.009658151306211948,0.04882506653666496,0.0142686627805233,0.12727021601095617,0.03312434736591708,0.02115672640502453,0.006412878166884184,10.729
-162.888671875,79.59546661376953,-60.68157196044922,-15.43829345703125,-45.1711311340332,-39.664573669433594,-4.779818058013916,-29.227941513061523,-5.366416931152344,-0.26589012145996094,-9.101972579956055,8.993300437927246,-12.06085205078125,15.375713348388672,13.39316463470459,11.403608322143555,12.320328712463379,9.051703453063965,8.153820037841797,8.43983268737793,8.265233039855957,7.833125591278076,8.519536018371582,8.134920120239258,6.063982963562012,5.988694667816162,3334.276917493529,436.4804808661986,3270.3397076994256,286.3258200502789,6027.980939716312,988.737560847731,0.01796886697411537,0.011066104285418987,0.05702963098883629,0.013502550311386585,0.11827660959663121,0.027102971036882376,0.024096479639410973,0.006810438819229603,10.752
-170.8188018798828,69.87088775634766,-42.532859802246094,-0.7517295479774475,-36.84748077392578,-43.65106201171875,-3.719025135040283,-38.645267486572266,-8.88667106628418,-13.847795486450195,-20.583162307739258,-3.693390369415283,-23.960044860839844,15.979365348815918,13.532719612121582,10.576623916625977,10.920245170593262,10.727484703063965,8.756072998046875,6.734242916107178,7.111842155456543,5.898036003112793,6.415516376495361,7.400277137756348,6.81420373916626,5.808614253997803,3891.488430670119,458.5322592383793,3687.3323932820063,278.10399311400977,6941.611842105263,1258.8675928659945,0.030438706278800964,0.014391477219760418,0.04556088149547577,0.009509038180112839,0.14858802279135339,0.03379299460491564,0.019214961677789688,0.004767479375004768,10.928
-156.3572998046875,79.0925521850586,-52.53761672973633,-0.6458625793457031,-36.668643951416016,-32.06562805175781,-4.229121208190918,-30.8160457611084,-11.570183753967285,-10.372393608093262,-17.772428512573242,-1.4469467401504517,-18.052265167236328,13.478763580322266,15.711368560791016,10.765523910522461,10.801392555236816,9.649385452270508,9.978955268859863,7.734476089477539,6.476227283477783,7.53799295425415,7.002398490905762,6.392180442810059,6.919017791748047,6.039581775665283,3519.9694483864832,458.8079588209489,3282.9924259374993,279.9310855740634,6155.662593984963,739.963850862914,0.02610359527170658,0.013127438724040985,0.05091672018170357,0.011181746609508991,0.14203661007988722,0.034099609953401076,0.02196066826581955,0.005625410005450249,11.013
-173.8495635986328,80.57552337646484,-49.50392150878906,-7.001383304595947,-44.897865295410156,-40.37991714477539,-4.887791156768799,-37.14085388183594,-5.636564254760742,-11.09639835357666,-14.32541275024414,0.8828265070915222,-15.896513938903809,14.553184509277344,14.729056358337402,12.16442584991455,11.975496292114258,10.663607597351074,9.198205947875977,7.303582668304443,6.655272483825684,8.336119651794434,7.363958358764648,6.2758283615112305,6.648936748504639,6.378460884094238,3474.4707954221167,457.07104361501604,3416.944159547714,281.6782179485786,6194.960056390977,718.2405414061864,0.02011709101498127,0.01039334386587143,0.050511863082647324,0.013550953008234501,0.1237535978618421,0.03083694299350889,0.021180612966418266,0.006457048933953047,11.111
-183.0526885986328,89.14585876464844,-45.510372161865234,-0.30168458819389343,-37.3632698059082,-29.432891845703125,-3.561413049697876,-38.90816116333008,-10.991999626159668,-12.73108959197998,-17.919490814208984,-6.6212968826293945,-19.068328857421875,11.620447158813477,11.131692886352539,9.217369079589844,10.906740188598633,9.012046813964844,9.253020286560059,6.349771976470947,6.275586128234863,6.688477039337158,5.910892963409424,6.146904945373535,6.096542835235596,6.957603454589844,3261.2394366384633,332.8217104779654,3310.862374501039,237.03427806446507,6004.98670212766,445.64460580549934,0.016345851123332977,0.0072706094942986965,0.04435252770781517,0.006282143294811249,0.11272544049202128,0.01943688518851632,0.018276983872056007,0.0033286367543041706,11.695
-163.85264587402344,76.39955139160156,-55.8389892578125,-7.307706832885742,-37.057003021240234,-41.17768096923828,-2.6439478397369385,-37.71482467651367,-10.250997543334961,-12.628399848937988,-16.12215805053711,-1.6583025455474854,-16.943878173828125,16.481098175048828,15.3057861328125,11.963299751281738,12.076922416687012,9.162923812866211,8.80392074584961,8.426044464111328,8.279255867004395,7.204429626464844,6.926153182983398,6.565690040588379,6.741421699523926,6.677059173583984,3581.5461806786625,502.8172582634005,3424.8145214827914,364.2375577863309,6341.633466135459,1269.6412693372567,0.024174876511096954,0.01405223086476326,0.05093821883201599,0.010745068080723286,0.13488818164840638,0.030858958645191056,0.022052429616451263,0.005932205822318792,11.792
-143.85536193847656,74.4395980834961,-52.34459686279297,-6.212589740753174,-37.56999588012695,-35.729408264160156,-6.414107322692871,-34.29841995239258,-11.202245712280273,-7.837396621704102,-17.457965850830078,1.3420326709747314,-16.723907470703125,17.32917022705078,12.898898124694824,10.80343246459961,11.964078903198242,11.82458782196045,8.763138771057129,8.659246444702148,7.636828422546387,7.775759696960449,7.046595573425293,7.15421199798584,7.44959020614624,6.756532192230225,3637.3605258611683,397.234543759198,3432.776045356439,263.551389677878,6476.4068725099605,952.6573522818438,0.027179459109902382,0.012412997893989086,0.05872510373592377,0.012158459052443504,0.14172411914840638,0.027589309781248208,0.025518832728266716,0.006285578012466431,11.834
-138.86453247070312,78.0704345703125,-42.958526611328125,7.1533026695251465,-42.58148193359375,-33.50824737548828,-0.6619685888290405,-34.57256317138672,-8.526479721069336,-18.819805145263672,-24.8737735748291,-7.296382427215576,-29.022266387939453,16.425737380981445,12.164283752441406,10.665594100952148,10.801385879516602,9.90983772277832,8.56685733795166,8.451658248901367,7.736363410949707,7.112792015075684,6.504266738891602,6.566238880157471,6.178930759429932,6.311356544494629,3622.1766909811204,371.27145940831275,3357.691381187402,219.612282000646,6303.590425531915,503.5772047379963,0.023919014260172844,0.009491684846580029,0.06453070789575577,0.015058484859764576,0.1467025432180851,0.029215973270301395,0.027494238689541817,0.00804921891540289,12.135
-152.12271118164062,89.19056701660156,-42.416297912597656,-4.523844242095947,-41.369197845458984,-31.50887107849121,-2.6378376483917236,-34.58900833129883,-9.42594051361084,-15.740798950195312,-16.522132873535156,-2.850904703140259,-15.850395202636719,15.994100570678711,12.129328727722168,10.840154647827148,10.808530807495117,10.127267837524414,8.205194473266602,6.525445938110352,6.137001991271973,7.312959671020508,6.9125165939331055,6.600042819976807,6.127121925354004,6.516228199005127,3321.1184927976574,402.1670725979078,3399.729394742496,286.36792819567967,6203.424520766773,814.174383814766,0.019364669919013977,0.009339656680822372,0.059000976383686066,0.013167628087103367,0.11628269768370607,0.024909289993131092,0.02487923577427864,0.0063063157722353935,12.886
